study_accession;first_public;study_title;project_name;run_accession;sample_accession;sample_title;sample_description;library_name;library_selection;library_source;library_strategy;library_construction_protocol;library_layout;rna_integrity_num;instrument_platform;rt_prep_protocol;cell_line;cell_type;tissue_lib;tissue_type;host_phenotype;isolate;age;host_body_site;description;note;origin;Gtex;;
PRJNA997353;22/12/2023;Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq];Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq];SRR25387977;SAMN36678825;PT-00153875_NT_AA;PT-00153875_NT_AA;GSM7657453;cDNA;TRANSCRIPTOMIC;RNA-Seq;Illumina TruSeq Stranded Total RNA Library Prep Kit with Ribo-Zero Gol RNA libraries were prepared for sequencing using standard Illumina protocols;PAIRED;;ILLUMINA;;;;;prostate;;;;;Illumina HiSeq 2500 sequencing: GSM7657453: PT-00153875_NT_AA Homo sapiens RNA-Seq;;tumor-adjacent;Prostate;;
PRJNA625391;16/04/2020;RNA-seq of matched adjacent normal and primary tumor samples from 33 HCC patients;;SRR11547389;SAMN14599320;Human sample from Homo sapiens;Human sample from Homo sapiens;56;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;Liver tissue;;normal;;;Illumina HiSeq 2500 sequencing: RNA-Seq of Homo sapiens :liver;;;Liver;;
PRJNA742971;12/11/2022;A resource for integrated genomic analysis of the human liver;A resource for integrated genomic analysis of the human liver;SRR15013578;SAMN19988398;SJLB365;SJLB365;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol;PAIRED;;ILLUMINA;;;;;liver;;;;;Illumina HiSeq 2000 sequencing: GSM5412213: SJLB365 Homo sapiens RNA-Seq;check ribozero;likely postmportem;Liver;;
PRJNA914646;24/12/2023;Integrated Unbiased Multiomics Defines Disease-Independent Placental Clusters in Common Obstetrical Syndromes;;SRR22925307;SAMN32490790;Human sample from Homo sapiens;Human sample from Homo sapiens;TP18.B1233;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;Placenta;;Control;;;Illumina NovaSeq 6000 sequencing: Control;;healthy;Placenta;;
PRJNA997353;22/12/2023;Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq];Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq];SRR25387899;SAMN36678775;PT-00237623_NT_AA;PT-00237623_NT_AA;GSM7657503;cDNA;TRANSCRIPTOMIC;RNA-Seq;Illumina TruSeq Stranded Total RNA Library Prep Kit with Ribo-Zero Gol RNA libraries were prepared for sequencing using standard Illumina protocols;PAIRED;;ILLUMINA;;;;;prostate;;;;;Illumina HiSeq 2500 sequencing: GSM7657503: PT-00237623_NT_AA Homo sapiens RNA-Seq;;tumor-adjacent;Prostate;;
PRJNA975585;08/09/2023;Whole genome transcriptomics of upper extremity veins from end-stage kidney disease patients and non-kidney disease organ donors;Whole genome transcriptomics of upper extremity veins from end-stage kidney disease patients and non-kidney disease organ donors;SRR24709844;SAMN35340225;S061,Basilic vein,Healthy,NA;S061,Basilic vein,Healthy,NA;GSM7418771;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNAlater-preserved samples were ground in liquid nitrogen and isolated with Trizol (Thermo Fisher Scientific) followed by column purification (EZNA Total RNA Kit I, Omega Bio-tek). 500 ng of total RNA was used as input for the Illumina TruSeq Stranded Total RNA Library Prep Kit with Ribo-Zero to generate ribosomal RNA-depleted sequencing libraries. Each sample had a unique barcode to allow multiplexing, and was sequenced to >40 million raw reads in a single end 75 bp sequencing run on the Illumina NextSeq500.;SINGLE;;ILLUMINA;;;;;Basilic vein;;;;;NextSeq 500 sequencing: GSM7418771: S061,Basilic vein,Healthy,NA Homo sapiens RNA-Seq;;;Blood Vessel;;
PRJEB21050;22/05/2018;RNA-seq of formalin-fixed, paraffin-embedded uninvolved terminal ileal tissue obtained from ileo-colic resection surgeries of Crohn’s disease and control patients;RNA-seq of formalin-fixed, paraffin-embedded uninvolved terminal ileal tissue obtained from ileo-colic resection surgeries of Crohn’s disease and control patients;ERR1993171;SAMEA104101968;WUCA-Cont-29;Protocols: We retrospectively obtained de-identified FFPE tissue from patients who underwent ileo-colic resection surgery at Barnes-Jewish Hospital, St. Louis between 2005 and 2010. CD patient surgical resections were due to complications associated with the disease, whereas control resections were due to adenoma, carcinoma or abdominal trauma. The set of hematoxylin and eosin-stained tissue sections from each resection were obtained and examined by two pathologists (T.C.L. and T.S.S.) to identify the uninvolved proximal margin (terminal ileum) of each resection. These tissue sections were then further evaluated to identify those that met the histological inclusion criteria for this study. The criteria were that the sample had at least 100 well-oriented intestinal crypts (contained crypt lumens that extended from the apex to the base of the crypt) and absent/minimal active or chronic inflammatory disease (e.g., cryptitis, crypt abscess, architectural distortion, pyloric gland metaplasia, etc.).The study protocol was approved by the Institutional Review Board of Washington University. Patients were recruited by the Washington University Digestive Diseases Research Core Center (DDRCC). Written informed consent was obtained from all study participants prior to inclusion in the study. For samples that met the histological inclusion criteria, two fresh, unstained 5-µm FFPE tissue sections on glass microscope slides were obtained. Slides were not baked after cutting. For each sample, the two tissue sections were scraped off of the slides using a clean razor and placed in 1.5 mL Eppendorf tubes. The tubes were briefly centrifuged to place the sample towards the bottoms or sides of the tube. RNA extraction and DNase treatment was performed using the RNeasy FFPE kit (Qiagen) according to the manufacturer’s instructions, using the Xylene protocol for the paraffin removal step and 30 µL RNase-free H2O for the elution step. RNA was initially quantified by NanoDrop. Subsequent total RNA quantification and quality assessment was performed by Bioanalyzer 2100 (Agilent Technologies). Samples were excluded from the study if >20% of the RNA fragments were >200 base pairs in length, as determined with the Bioanalyzer software. Library preparation was performed by the Genome Technology Access Center (GTAC) at Washington University. Library preparation used 150 ng of total RNA. ds-cDNA was generated using the Ovation RNA-seq FFPE system (Nugen, per manufacturer’s instructions). cDNA was blunt ended, had an A base added to the 3’ ends, and then had Illumina sequencing adapters ligated to the ends. Ligated fragments were then amplified for 12 cycles using primers incorporating unique index tags.;WUCA-Cont-29_s;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;We retrospectively obtained de-identified FFPE tissue from patients who underwent ileo-colic resection surgery at Barnes-Jewish Hospital, St. Louis between 2005 and 2010. CD patient surgical resections were due to complications associated with the disease, whereas control resections were due to adenoma, carcinoma or abdominal trauma. The set of hematoxylin and eosin-stained tissue sections from each resection were obtained and examined by two pathologists (T.C.L. and T.S.S.) to identify the uninvolved proximal margin (terminal ileum) of each resection. These tissue sections were then further evaluated to identify those that met the histological inclusion criteria for this study. The criteria were that the sample had at least 100 well-oriented intestinal crypts (contained crypt lumens that extended from the apex to the base of the crypt) and absent/minimal active or chronic inflammatory disease (e.g., cryptitis, crypt abscess, architectural distortion, pyloric gland metaplasia, etc.).The study protocol was approved by the Institutional Review Board of Washington University. Patients were recruited by the Washington University Digestive Diseases Research Core Center (DDRCC). Written informed consent was obtained from all study participants prior to inclusion in the study. For samples that met the histological inclusion criteria, two fresh, unstained 5-µm FFPE tissue sections on glass microscope slides were obtained. Slides were not baked after cutting. For each sample, the two tissue sections were scraped off of the slides using a clean razor and placed in 1.5 mL Eppendorf tubes. The tubes were briefly centrifuged to place the sample towards the bottoms or sides of the tube. RNA extraction and DNase treatment was performed using the RNeasy FFPE kit (Qiagen) according to the manufacturer’s instructions, using the Xylene protocol for the paraffin removal step and 30 µL RNase-free H2O for the elution step. RNA was initially quantified by NanoDrop. Subsequent total RNA quantification and quality assessment was performed by Bioanalyzer 2100 (Agilent Technologies). Samples were excluded from the study if >20% of the RNA fragments were >200 base pairs in length, as determined with the Bioanalyzer software. Library preparation was performed by the Genome Technology Access Center (GTAC) at Washington University. Library preparation used 150 ng of total RNA. ds-cDNA was generated using the Ovation RNA-seq FFPE system (Nugen, per manufacturer’s instructions). cDNA was blunt ended, had an A base added to the 3’ ends, and then had Illumina sequencing adapters ligated to the ends. Ligated fragments were then amplified for 12 cycles using primers incorporating unique index tags.;SINGLE;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2000 sequencing: RNA-seq of formalin-fixed, paraffin-embedded uninvolved terminal ileal tissue obtained from ileo-colic resection surgeries of Crohn’s disease and control patients;;;Small Intestine - Ileum;;
PRJNA668929;18/06/2021;Effect of age on human retinal pigment epithelium (RPE) transcriptome;Effect of age on human retinal pigment epithelium (RPE) transcriptome;SRR12817269;SAMN16427602;donor9;donor9;;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNeasy Plus Mini kit Ribosomal RNA was depleted from total RNA using the Ribo-Zero rRNA Removal kit. Library preparation performed using Illumina HiSeq 2000.;PAIRED;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2000 sequencing: GSM4829770: donor9 Homo sapiens RNA-Seq;;;Eye - Retina;;
PRJNA726237;17/11/2021;Ischemic heart disease selectively modifies the right atrial appendage transcriptome;Ischemic heart disease selectively modifies the right atrial appendage transcriptome;SRR14362360;SAMN18926148;(ICA)-positive IHD undergoing coronary artery bypass surgery, 11-02-15-AV;(ICA)-positive IHD undergoing coronary artery bypass surgery, 11-02-15-AV;;cDNA;TRANSCRIPTOMIC;RNA-Seq;During cardiac surgery, a biopsy sample of the RAA was collected from each patient. Tissue samples were collected at the cannulation site, the insertion site of the venous line for the heart–lung machine. Dissected biopsies were briefly washed in ice-cold sterile saline, cut into 0.5 cm thick tissue pieces, and immersed into 3 ml of RNAlater (Sigma Aldrich, Merck KGaA, Darmstadt, Germany) to inactivate RNAses and stabilize RNA. Samples were let to stabilize at +4°C for one day and stored at under -70°C until processing. Total RNA was isolated from RAA biopsies via initial ice-cold tissue homogenization using a Precellys 24 tissue homogenizer equipped with the Cryolys cooling option (Bertin Technologies SAS, Montigny-le-Bretonneux, France) followed by RNA isolation using combined QIAzol / chloroform extraction and Qiagen RNeasy mini spin column purification according to the manufacturer's instructions (Qiagen, Venlo, Netherlands). The sample RNA integrity number (RIN mean 7.95 ± 0.55 range 7.1–9.0) and total quantity (mean 3069.55 ± 1141.08 ng range 867.8–6855.0 ng) was evaluated in the Functional Genomics Unit (FuGU, University of Helsinki, Helsinki, Finland). Isolated total RNA was stored at under -70oC until sequencing. Ribosomal RNA was removed using the Ribo-ZeroTM Magnetic kit (Illumina Inc, San Diego, CA). RNA libraries were prepared for sequencing using standard Illumina protocols;PAIRED;;ILLUMINA;;;;;Heart (Atrial Appendage);;;;;Illumina HiSeq 4000 sequencing: GSM5271537: (ICA)-positive IHD undergoing coronary artery bypass surgery, 11-02-15-AV Homo sapiens RNA-Seq;;non-cancer disease;Heart - Atrial appendage;;
PRJNA448679;26/06/2018;Time series integrative analysis of RNA-Seq and miRNA expression data reveals key biologic pathways during keloid formation;;SRR6937786;SAMN08863009;K8-1st;Keloid data set RNA-Seq;548;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;skin;;K8;;;Illumina HiSeq 3000 sequencing: RNA Seq of Keloid skin;;;Skin;;
PRJNA637378;23/09/2020;Non-CG methylation and multiple epigenetic layers associate child abuse with immune and small GTPase dysregulation;Non-CG methylation and multiple epigenetic layers associate child abuse with immune and small GTPase dysregulation;SRR11927166;SAMN15104728;Lateral amygdala, S35, RNAseq;Lateral amygdala, S35, RNAseq;;cDNA;TRANSCRIPTOMIC;RNA-Seq;TrueSeq Stranded Total RNA Sample Preparation + Ribo-Zero Gold kits (Illumina);PAIRED;;ILLUMINA;;;;;Lateral Amygdala (human brain tissue);;;;;Illumina HiSeq 2000 sequencing: GSM4591847: Lateral amygdala, S35, RNAseq Homo sapiens RNA-Seq;;;Brain - Amygdala;;
PRJNA726237;17/11/2021;Ischemic heart disease selectively modifies the right atrial appendage transcriptome;Ischemic heart disease selectively modifies the right atrial appendage transcriptome;SRR14362386;SAMN18926149;ICA-negative for IHD (non-IHD) undergoing valvular surgery, 10-03-15-JVL;ICA-negative for IHD (non-IHD) undergoing valvular surgery, 10-03-15-JVL;;cDNA;TRANSCRIPTOMIC;RNA-Seq;During cardiac surgery, a biopsy sample of the RAA was collected from each patient. Tissue samples were collected at the cannulation site, the insertion site of the venous line for the heart–lung machine. Dissected biopsies were briefly washed in ice-cold sterile saline, cut into 0.5 cm thick tissue pieces, and immersed into 3 ml of RNAlater (Sigma Aldrich, Merck KGaA, Darmstadt, Germany) to inactivate RNAses and stabilize RNA. Samples were let to stabilize at +4°C for one day and stored at under -70°C until processing. Total RNA was isolated from RAA biopsies via initial ice-cold tissue homogenization using a Precellys 24 tissue homogenizer equipped with the Cryolys cooling option (Bertin Technologies SAS, Montigny-le-Bretonneux, France) followed by RNA isolation using combined QIAzol / chloroform extraction and Qiagen RNeasy mini spin column purification according to the manufacturer's instructions (Qiagen, Venlo, Netherlands). The sample RNA integrity number (RIN mean 7.95 ± 0.55 range 7.1–9.0) and total quantity (mean 3069.55 ± 1141.08 ng range 867.8–6855.0 ng) was evaluated in the Functional Genomics Unit (FuGU, University of Helsinki, Helsinki, Finland). Isolated total RNA was stored at under -70oC until sequencing. Ribosomal RNA was removed using the Ribo-ZeroTM Magnetic kit (Illumina Inc, San Diego, CA). RNA libraries were prepared for sequencing using standard Illumina protocols;PAIRED;;ILLUMINA;;;;;Heart (Atrial Appendage);;;;;Illumina HiSeq 4000 sequencing: GSM5271563: ICA-negative for IHD (non-IHD) undergoing valvular surgery, 10-03-15-JVL Homo sapiens RNA-Seq;;non-cancer disease;Heart - Atrial appendage;;
