code_uberon,name,synonym
UBERON:0007762,metatarsophalangeal joint of pedal digit 5,"metatarsophalangeal joint of fifth digit of foot;metatarsophalangeal joint of fifth toe;metatarsophalangeal joint of little toe;metatarsophalangeal joint of pedal digit V"
UBERON:0007763,cerebellum vermis culmen,"cerebellum culmen;culmen;culmen lobule;culmen of vermis;lobule IV and V of vermis;neuraxis culmen"
UBERON:0007764,paramedian reticular nucleus,"nucleus reticularis paramedianus;paramedian nucleus reticularis;ventral paramedian reticular nucleus"
UBERON:0007767,dorsal premammillary nucleus,"premammillary nucleus dorsal part"
UBERON:0007768,ventral premammillary nucleus,"premammillary nucleus ventral part"
UBERON:0007769,medial preoptic region,"medial preoptic area;medial preopticarea"
UBERON:0007770,osphradium,""
UBERON:0007771,epidermis gland,"epidermal gland;gland of epidermis"
UBERON:0007772,scrotal sweat,"scrotum sweat;sweat of scrotal sac;sweat of scrotum"
UBERON:0007773,scrotal sweat gland,""
UBERON:0007774,secondary dentition,"adult dentition;dentes permanentes;permanent dentition;permanent teeth;secondary dentition;set of permanent teeth;set of secondary teeth"
UBERON:0007775,secondary tooth,"dentes permanentes;permanent tooth"
UBERON:0007776,unerupted tooth,"unerupted teeth"
UBERON:0007777,umbilical vein endothelium,""
UBERON:0007778,umbilical artery endothelium,""
UBERON:0007779,transudate,"plasma ultrafiltrate"
UBERON:0007780,exudate,""
UBERON:0007794,secretion of serous gland,"serosal fluid;serous fluid;serous gland fluid"
UBERON:0007795,ascitic fluid,"ascites;ascites fluid"
UBERON:0007798,vascular system,""
UBERON:0007799,mixed dentition,"transitional dentition"
UBERON:0007800,proatlas,""
UBERON:0007801,pygostyle,""
UBERON:0007802,uropygial gland,"oil gland;preen gland;preen oil gland"
UBERON:0007803,preen oil,"preen gland secretion;uropygial gland secretion"
UBERON:0007804,sclerotic ring,"scleral ring"
UBERON:0007805,synsacrum,""
UBERON:0007806,connecting stalk,""
